base_case_id,canonical_symbol,case_dir,case_id,consecutive_losses,deposit,execution_status,expected_payoff,largest_loss,largest_win,max_drawdown,message,net_profit,phase,profit_factor,relative_drawdown,report_period_from,report_period_to,run_id,symbol,timeframe,total_trades,win_rate
EURUSD_H1_10000,EURUSD,research\runs\run_20260619_220639\EURUSD_H1_10000_out_of_sample,EURUSD_H1_10000_out_of_sample,,10000,NO_REPORT,,,,,MT5 report file was not created.,,out_of_sample,,,,,run_20260619_220639,EURUSD,H1,,
GOLD_HASH_H4_10000,GOLD,research\runs\run_20260619_220639\GOLD_HASH_H4_10000_out_of_sample,GOLD_HASH_H4_10000_out_of_sample,,10000,NO_REPORT,,,,,MT5 report file was not created.,,out_of_sample,,,,,run_20260619_220639,GOLD#,H4,,
USDJPY_HASH_H1_10000,USDJPY,research\runs\run_20260619_220639\USDJPY_HASH_H1_10000_out_of_sample,USDJPY_HASH_H1_10000_out_of_sample,,10000,NO_REPORT,,,,,MT5 report file was not created.,,out_of_sample,,,,,run_20260619_220639,USDJPY#,H1,,
EURUSD_H1_10000,EURUSD,research\runs\run_20260619_221044\EURUSD_H1_10000_out_of_sample,EURUSD_H1_10000_out_of_sample,,10000,NO_REPORT,,,,,MT5 report file was not created.,,out_of_sample,,,,,run_20260619_221044,EURUSD,H1,,
GOLD_HASH_H4_10000,GOLD,research\runs\run_20260619_221044\GOLD_HASH_H4_10000_out_of_sample,GOLD_HASH_H4_10000_out_of_sample,,10000,NO_REPORT,,,,,MT5 report file was not created.,,out_of_sample,,,,,run_20260619_221044,GOLD#,H4,,
USDJPY_HASH_H1_10000,USDJPY,research\runs\run_20260619_221044\USDJPY_HASH_H1_10000_out_of_sample,USDJPY_HASH_H1_10000_out_of_sample,,10000,NO_REPORT,,,,,MT5 report file was not created.,,out_of_sample,,,,,run_20260619_221044,USDJPY#,H1,,
EURUSD_H1_10000,EURUSD,research\runs\run_20260619_221346\EURUSD_H1_10000_out_of_sample,EURUSD_H1_10000_out_of_sample,,10000,NO_REPORT,,,,,MT5 report file was not created.,,out_of_sample,,,,,run_20260619_221346,EURUSD,H1,,
GOLD_HASH_H4_10000,GOLD,research\runs\run_20260619_221346\GOLD_HASH_H4_10000_out_of_sample,GOLD_HASH_H4_10000_out_of_sample,,10000,NO_REPORT,,,,,MT5 report file was not created.,,out_of_sample,,,,,run_20260619_221346,GOLD#,H4,,
USDJPY_HASH_H1_10000,USDJPY,research\runs\run_20260619_221346\USDJPY_HASH_H1_10000_out_of_sample,USDJPY_HASH_H1_10000_out_of_sample,,10000,NO_REPORT,,,,,MT5 report file was not created.,,out_of_sample,,,,,run_20260619_221346,USDJPY#,H1,,
EURUSD_H1_10000,EURUSD,research\runs\run_20260619_221606\EURUSD_H1_10000_out_of_sample,EURUSD_H1_10000_out_of_sample,4,10000,PASS,0.66,-10.25,19.32,59.65,Completed with parseable report.,41.03,out_of_sample,1.18,0.59,2026-01-01,2026-06-18,run_20260619_221606,EURUSD,H1,62,34.0
GOLD_HASH_H4_10000,GOLD,research\runs\run_20260619_221606\GOLD_HASH_H4_10000_out_of_sample,GOLD_HASH_H4_10000_out_of_sample,0,10000,PASS,0,0,0,0.0,Completed with parseable report.,0,out_of_sample,0,0.0,2026-01-01,2026-06-18,run_20260619_221606,GOLD#,H4,0,0.0
USDJPY_HASH_H1_10000,USDJPY,research\runs\run_20260619_221606\USDJPY_HASH_H1_10000_out_of_sample,USDJPY_HASH_H1_10000_out_of_sample,4,10000,PASS,-2.57,-9.87,15.22,39.83,Completed with parseable report.,-30.79,out_of_sample,0.48,0.4,2026-01-01,2026-06-18,run_20260619_221606,USDJPY#,H1,12,5.0
EURUSD_H1_10000,EURUSD,research\runs\run_20260620_004004\EURUSD_H1_10000_out_of_sample,EURUSD_H1_10000_out_of_sample,4,10000,PASS,0.66,-10.25,19.32,59.65,Completed with parseable report.,41.03,out_of_sample,1.18,0.59,2026-01-01,2026-06-18,run_20260620_004004,EURUSD,H1,62,34.0
EURUSD_H1_10000,EURUSD,research\runs\run_20260620_004004\EURUSD_H1_10000_train,EURUSD_H1_10000_train,4,10000,PASS,-1.86,-9.42,14.25,59.16,Completed with parseable report.,-40.96,train,0.57,0.59,2023-01-01,2024-12-31,run_20260620_004004,EURUSD,H1,22,11.0
EURUSD_H1_10000,EURUSD,research\runs\run_20260620_004004\EURUSD_H1_10000_validation,EURUSD_H1_10000_validation,,10000,NO_REPORT,,,,,MT5 report file was not created.,,validation,,,,,run_20260620_004004,EURUSD,H1,,
EURUSD_H1_10000,EURUSD,research\runs\run_20260620_004501\EURUSD_H1_10000_out_of_sample,EURUSD_H1_10000_out_of_sample,4,10000,PASS,0.66,-10.25,19.32,59.65,Completed with parseable report.,41.03,out_of_sample,1.18,0.59,2026-01-01,2026-06-18,run_20260620_004501,EURUSD,H1,62,34.0
EURUSD_H1_10000,EURUSD,research\runs\run_20260620_004501\EURUSD_H1_10000_train,EURUSD_H1_10000_train,4,10000,PASS,-1.86,-9.42,14.25,59.16,Completed with parseable report.,-40.96,train,0.57,0.59,2023-01-01,2024-12-31,run_20260620_004501,EURUSD,H1,22,11.0
EURUSD_H1_10000,EURUSD,research\runs\run_20260620_004501\EURUSD_H1_10000_validation,EURUSD_H1_10000_validation,4,10000,PASS,0.58,-10.45,20.4,63.21,Completed with parseable report.,61.38,validation,1.16,0.63,2025-01-01,2025-12-31,run_20260620_004501,EURUSD,H1,105,60.0
EURUSD_H1_10000,EURUSD,research\runs\run_20260621_173616\EURUSD_H1_10000_out_of_sample,EURUSD_H1_10000_out_of_sample,4,10000,PASS,0.66,-10.25,19.32,59.65,Completed with parseable report.,41.03,out_of_sample,1.18,0.59,2026-01-01,2026-06-18,run_20260621_173616,EURUSD,H1,62,34.0
EURUSD_H1_10000,EURUSD,research\runs\run_20260621_173616\EURUSD_H1_10000_train,EURUSD_H1_10000_train,4,10000,PASS,-1.86,-9.42,14.25,59.16,Completed with parseable report.,-40.96,train,0.57,0.59,2023-01-01,2024-12-31,run_20260621_173616,EURUSD,H1,22,11.0
EURUSD_H1_10000,EURUSD,research\runs\run_20260621_173616\EURUSD_H1_10000_validation,EURUSD_H1_10000_validation,4,10000,PASS,0.58,-10.45,20.4,63.21,Completed with parseable report.,61.38,validation,1.16,0.63,2025-01-01,2025-12-31,run_20260621_173616,EURUSD,H1,105,60.0
