annualized_return_informational_only,annualized_return_percent,annualized_return_warning,base_case_id,cagr_approx_percent,calmar_ratio,canonical_symbol,case_failed_gates,case_id,case_level_classification,consecutive_losses,deposit,execution_status,failed_gates,largest_loss,largest_win,max_drawdown,max_relative_drawdown_percent,monthly_return_estimate,net_profit,phase,phase_classification,profit_factor,relative_drawdown,research_classification,return_to_drawdown_ratio,risk_adjusted_classification,run_id,score,symbol,test_period_days,timeframe,total_trades
False,,missing_deposit_profit_or_period,EURUSD_H1_10000,,,EURUSD,"missing_train,validation",EURUSD_H1_10000_out_of_sample,INCOMPLETE_PHASES,,10000,NO_REPORT,NO_REPORT,,,,,,,out_of_sample,EXECUTION_FAILED,,,EXECUTION_FAILED,,NOT_VIABLE,run_20260619_220639,,EURUSD,169,H1,
False,,missing_deposit_profit_or_period,GOLD_HASH_H4_10000,,,GOLD,"missing_train,validation",GOLD_HASH_H4_10000_out_of_sample,INCOMPLETE_PHASES,,10000,NO_REPORT,NO_REPORT,,,,,,,out_of_sample,EXECUTION_FAILED,,,EXECUTION_FAILED,,NOT_VIABLE,run_20260619_220639,,GOLD#,169,H4,
False,,missing_deposit_profit_or_period,USDJPY_HASH_H1_10000,,,USDJPY,"missing_train,validation",USDJPY_HASH_H1_10000_out_of_sample,INCOMPLETE_PHASES,,10000,NO_REPORT,NO_REPORT,,,,,,,out_of_sample,EXECUTION_FAILED,,,EXECUTION_FAILED,,NOT_VIABLE,run_20260619_220639,,USDJPY#,169,H1,
False,,missing_deposit_profit_or_period,EURUSD_H1_10000,,,EURUSD,"missing_train,validation",EURUSD_H1_10000_out_of_sample,INCOMPLETE_PHASES,,10000,NO_REPORT,NO_REPORT,,,,,,,out_of_sample,EXECUTION_FAILED,,,EXECUTION_FAILED,,NOT_VIABLE,run_20260619_221044,,EURUSD,169,H1,
False,,missing_deposit_profit_or_period,GOLD_HASH_H4_10000,,,GOLD,"missing_train,validation",GOLD_HASH_H4_10000_out_of_sample,INCOMPLETE_PHASES,,10000,NO_REPORT,NO_REPORT,,,,,,,out_of_sample,EXECUTION_FAILED,,,EXECUTION_FAILED,,NOT_VIABLE,run_20260619_221044,,GOLD#,169,H4,
False,,missing_deposit_profit_or_period,USDJPY_HASH_H1_10000,,,USDJPY,"missing_train,validation",USDJPY_HASH_H1_10000_out_of_sample,INCOMPLETE_PHASES,,10000,NO_REPORT,NO_REPORT,,,,,,,out_of_sample,EXECUTION_FAILED,,,EXECUTION_FAILED,,NOT_VIABLE,run_20260619_221044,,USDJPY#,169,H1,
False,,missing_deposit_profit_or_period,EURUSD_H1_10000,,,EURUSD,"missing_train,validation",EURUSD_H1_10000_out_of_sample,INCOMPLETE_PHASES,,10000,NO_REPORT,NO_REPORT,,,,,,,out_of_sample,EXECUTION_FAILED,,,EXECUTION_FAILED,,NOT_VIABLE,run_20260619_221346,,EURUSD,169,H1,
False,,missing_deposit_profit_or_period,GOLD_HASH_H4_10000,,,GOLD,"missing_train,validation",GOLD_HASH_H4_10000_out_of_sample,INCOMPLETE_PHASES,,10000,NO_REPORT,NO_REPORT,,,,,,,out_of_sample,EXECUTION_FAILED,,,EXECUTION_FAILED,,NOT_VIABLE,run_20260619_221346,,GOLD#,169,H4,
False,,missing_deposit_profit_or_period,USDJPY_HASH_H1_10000,,,USDJPY,"missing_train,validation",USDJPY_HASH_H1_10000_out_of_sample,INCOMPLETE_PHASES,,10000,NO_REPORT,NO_REPORT,,,,,,,out_of_sample,EXECUTION_FAILED,,,EXECUTION_FAILED,,NOT_VIABLE,run_20260619_221346,,USDJPY#,169,H1,
True,0.8862,short_test_period,EURUSD_H1_10000,0.8883,1.502,EURUSD,"missing_train,validation",EURUSD_H1_10000_out_of_sample,INCOMPLETE_PHASES,4,10000,PASS,,-10.25,19.32,59.65,0.59,0.0738,41.03,out_of_sample,VALID_RESULT,1.18,0.59,VALID_RESULT,0.6954,NOT_VIABLE,run_20260619_221606,49.88,EURUSD,169,H1,62
True,0.0,"short_test_period,low_trade_count",GOLD_HASH_H4_10000,0.0,,GOLD,"missing_train,validation",GOLD_HASH_H4_10000_out_of_sample,INCOMPLETE_PHASES,0,10000,PASS,broker_min_lot_exceeds_risk_budget,0,0,0.0,0.0,0.0,0,out_of_sample,NO_RISK_BUDGET,0,0.0,NO_RISK_BUDGET,,NOT_VIABLE,run_20260619_221606,,GOLD#,169,H4,0
True,-0.665,"short_test_period,low_trade_count",USDJPY_HASH_H1_10000,-0.6638,-1.6625,USDJPY,"missing_train,validation",USDJPY_HASH_H1_10000_out_of_sample,INCOMPLETE_PHASES,4,10000,PASS,insufficient_trades,-9.87,15.22,39.83,0.4,-0.0554,-30.79,out_of_sample,INSUFFICIENT_TRADES,0.48,0.4,INSUFFICIENT_TRADES,-0.7697,NOT_VIABLE,run_20260619_221606,,USDJPY#,169,H1,12
True,0.8862,short_test_period,EURUSD_H1_10000,0.8883,1.502,EURUSD,infrastructure_failure,EURUSD_H1_10000_out_of_sample,EXECUTION_FAILED,4,10000,PASS,,-10.25,19.32,59.65,0.59,0.0738,41.03,out_of_sample,VALID_RESULT,1.18,0.59,VALID_RESULT,0.6954,NOT_VIABLE,run_20260620_004004,49.88,EURUSD,169,H1,62
True,-0.2045,low_trade_count,EURUSD_H1_10000,-0.2047,-0.3466,EURUSD,infrastructure_failure,EURUSD_H1_10000_train,EXECUTION_FAILED,4,10000,PASS,insufficient_trades,-9.42,14.25,59.16,0.59,-0.017,-40.96,train,INSUFFICIENT_TRADES,0.57,0.59,INSUFFICIENT_TRADES,-0.6942,NOT_VIABLE,run_20260620_004004,,EURUSD,731,H1,22
False,,missing_deposit_profit_or_period,EURUSD_H1_10000,,,EURUSD,infrastructure_failure,EURUSD_H1_10000_validation,EXECUTION_FAILED,,10000,NO_REPORT,NO_REPORT,,,,,,,validation,EXECUTION_FAILED,,,EXECUTION_FAILED,,NOT_VIABLE,run_20260620_004004,,EURUSD,365,H1,
True,0.8862,short_test_period,EURUSD_H1_10000,0.8883,1.502,EURUSD,train_negative_or_insufficient,EURUSD_H1_10000_out_of_sample,TRAIN_FAILED_VALIDATION_OOS_PASS,4,10000,PASS,,-10.25,19.32,59.65,0.59,0.0738,41.03,out_of_sample,VALID_RESULT,1.18,0.59,VALID_RESULT,0.6954,BELOW_FOREX_RISK_PREMIUM,run_20260620_004501,49.88,EURUSD,169,H1,62
True,-0.2045,low_trade_count,EURUSD_H1_10000,-0.2047,-0.3466,EURUSD,train_negative_or_insufficient,EURUSD_H1_10000_train,TRAIN_FAILED_VALIDATION_OOS_PASS,4,10000,PASS,insufficient_trades,-9.42,14.25,59.16,0.59,-0.017,-40.96,train,INSUFFICIENT_TRADES,0.57,0.59,INSUFFICIENT_TRADES,-0.6942,BELOW_FOREX_RISK_PREMIUM,run_20260620_004501,,EURUSD,731,H1,22
False,0.6138,,EURUSD_H1_10000,0.6138,0.9743,EURUSD,train_negative_or_insufficient,EURUSD_H1_10000_validation,TRAIN_FAILED_VALIDATION_OOS_PASS,4,10000,PASS,,-10.45,20.4,63.21,0.63,0.0512,61.38,validation,VALID_RESULT,1.16,0.63,VALID_RESULT,0.9743,BELOW_FOREX_RISK_PREMIUM,run_20260620_004501,69.83,EURUSD,365,H1,105
True,0.8862,short_test_period,EURUSD_H1_10000,0.8883,1.502,EURUSD,train_negative_or_insufficient,EURUSD_H1_10000_out_of_sample,TRAIN_FAILED_VALIDATION_OOS_PASS,4,10000,PASS,,-10.25,19.32,59.65,0.59,0.0738,41.03,out_of_sample,VALID_RESULT,1.18,0.59,VALID_RESULT,0.6954,BELOW_FOREX_RISK_PREMIUM,run_20260621_173616,49.88,EURUSD,169,H1,62
True,-0.2045,low_trade_count,EURUSD_H1_10000,-0.2047,-0.3466,EURUSD,train_negative_or_insufficient,EURUSD_H1_10000_train,TRAIN_FAILED_VALIDATION_OOS_PASS,4,10000,PASS,insufficient_trades,-9.42,14.25,59.16,0.59,-0.017,-40.96,train,INSUFFICIENT_TRADES,0.57,0.59,INSUFFICIENT_TRADES,-0.6942,BELOW_FOREX_RISK_PREMIUM,run_20260621_173616,,EURUSD,731,H1,22
False,0.6138,,EURUSD_H1_10000,0.6138,0.9743,EURUSD,train_negative_or_insufficient,EURUSD_H1_10000_validation,TRAIN_FAILED_VALIDATION_OOS_PASS,4,10000,PASS,,-10.45,20.4,63.21,0.63,0.0512,61.38,validation,VALID_RESULT,1.16,0.63,VALID_RESULT,0.9743,BELOW_FOREX_RISK_PREMIUM,run_20260621_173616,69.83,EURUSD,365,H1,105
True,0.0,"short_test_period,low_trade_count",GOLD_HASH_H4_30000,0.0,,GOLD,validation_or_oos_not_positive_valid,GOLD_HASH_H4_30000_out_of_sample,REJECTED,0,30000,PASS,broker_min_lot_exceeds_risk_budget,0,0,0.0,0.0,0.0,0,out_of_sample,NO_RISK_BUDGET,0,0.0,NO_RISK_BUDGET,,NOT_VIABLE,run_20260621_173616,,GOLD#,169,H4,0
True,0.2261,low_trade_count,GOLD_HASH_H4_30000,0.2259,1.33,GOLD,validation_or_oos_not_positive_valid,GOLD_HASH_H4_30000_train,REJECTED,2,30000,PASS,,-14.92,29.57,50.21,0.17,0.0188,135.85,train,VALID_RESULT,2.12,0.17,VALID_RESULT,2.6637,NOT_VIABLE,run_20260621_173616,156.2,GOLD#,731,H4,30
True,0.0,low_trade_count,GOLD_HASH_H4_30000,0.0,,GOLD,validation_or_oos_not_positive_valid,GOLD_HASH_H4_30000_validation,REJECTED,0,30000,PASS,broker_min_lot_exceeds_risk_budget,0,0,0.0,0.0,0.0,0,validation,NO_RISK_BUDGET,0,0.0,NO_RISK_BUDGET,,NOT_VIABLE,run_20260621_173616,,GOLD#,365,H4,0
True,-0.665,"short_test_period,low_trade_count",USDJPY_HASH_H1_10000,-0.6638,-1.6625,USDJPY,validation_or_oos_not_positive_valid,USDJPY_HASH_H1_10000_out_of_sample,REJECTED,4,10000,PASS,insufficient_trades,-9.87,15.22,39.83,0.4,-0.0554,-30.79,out_of_sample,INSUFFICIENT_TRADES,0.48,0.4,INSUFFICIENT_TRADES,-0.7697,NOT_VIABLE,run_20260621_173616,,USDJPY#,169,H1,12
True,-0.1591,low_trade_count,USDJPY_HASH_H1_10000,-0.1593,-0.2893,USDJPY,validation_or_oos_not_positive_valid,USDJPY_HASH_H1_10000_train,REJECTED,4,10000,PASS,insufficient_trades,-9.48,15.12,55.22,0.55,-0.0133,-31.87,train,INSUFFICIENT_TRADES,0.39,0.55,INSUFFICIENT_TRADES,-0.5795,NOT_VIABLE,run_20260621_173616,,USDJPY#,731,H1,13
False,-0.6399,,USDJPY_HASH_H1_10000,-0.6399,-0.7272,USDJPY,validation_or_oos_not_positive_valid,USDJPY_HASH_H1_10000_validation,REJECTED,4,10000,PASS,,-9.96,16.57,87.87,0.88,-0.0533,-63.99,validation,VALID_RESULT,0.8,0.88,VALID_RESULT,-0.7272,NOT_VIABLE,run_20260621_173616,-60.39,USDJPY#,365,H1,91
True,0.8862,short_test_period,EURUSD_H1_10000,0.8883,1.502,EURUSD,train_negative_or_insufficient,EURUSD_H1_10000_out_of_sample,TRAIN_FAILED_VALIDATION_OOS_PASS,4,10000,PASS,,-10.25,19.32,59.65,0.59,0.0738,41.03,out_of_sample,VALID_RESULT,1.18,0.59,VALID_RESULT,0.6954,BELOW_FOREX_RISK_PREMIUM,run_20260621_183001,49.88,EURUSD,169,H1,62
True,-0.2045,low_trade_count,EURUSD_H1_10000,-0.2047,-0.3466,EURUSD,train_negative_or_insufficient,EURUSD_H1_10000_train,TRAIN_FAILED_VALIDATION_OOS_PASS,4,10000,PASS,insufficient_trades,-9.42,14.25,59.16,0.59,-0.017,-40.96,train,INSUFFICIENT_TRADES,0.57,0.59,INSUFFICIENT_TRADES,-0.6942,BELOW_FOREX_RISK_PREMIUM,run_20260621_183001,,EURUSD,731,H1,22
