run_id,case_id,base_case_id,phase,actual_symbol,canonical_symbol,timeframe,period_from,period_to,execution_status,report_artifact_status,total_trades,event_time,classification,regime,spread,spread_bucket,session_bucket,direction,direction_reason,entry_reference_price,outcome_label,limitation,source_file,lookahead_status,lookahead_limitation,lookahead_alignment_rule,lookahead_bar_time,h6_bars_available,h6_mfe,h6_mae,h6_future_high,h6_future_low,h6_future_close,h6_outcome_label,h6_touch_bar,h6_outcome_reason,h12_bars_available,h12_mfe,h12_mae,h12_future_high,h12_future_low,h12_future_close,h12_outcome_label,h12_touch_bar,h12_outcome_reason,h24_bars_available,h24_mfe,h24_mae,h24_future_high,h24_future_low,h24_future_close,h24_outcome_label,h24_touch_bar,h24_outcome_reason,h48_bars_available,h48_mfe,h48_mae,h48_future_high,h48_future_low,h48_future_close,h48_outcome_label,h48_touch_bar,h48_outcome_reason
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.02 01:00:00,POSSIBLE_BREAK_RETEST,trend,18.0,LOW_SPREAD,ASIA,BUY_CONTEXT,break_retest_above_prior_swing_high,5278.56,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-02 01:00:00,6,109.68,-24.63,5388.24,5303.19,5366.17,DATA_MISSING,,atr is missing or invalid,12,140.65,-24.63,5419.21,5303.19,5385.25,DATA_MISSING,,atr is missing or invalid,24,140.65,18.17,5419.21,5260.39,5350.16,DATA_MISSING,,atr is missing or invalid,48,140.65,282.48,5419.21,4996.08,5174.85,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.02 10:00:00,POSSIBLE_BREAK_RETEST,trend,23.0,NORMAL_SPREAD,LONDON,BUY_CONTEXT,break_retest_above_prior_swing_high,5408.19,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-02 10:00:00,6,8.2,101.63,5416.39,5306.56,5333.64,DATA_MISSING,,atr is missing or invalid,12,8.2,147.8,5416.39,5260.39,5332.31,DATA_MISSING,,atr is missing or invalid,24,8.2,181.93,5416.39,5226.26,5275.01,DATA_MISSING,,atr is missing or invalid,48,8.2,412.11,5416.39,4996.08,5189.83,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.02 23:00:00,POSSIBLE_FIBO_PULLBACK,trend,25.0,NORMAL_SPREAD,OTHER,BUY_CONTEXT,fibo_pullback_with_bullish_ema_context,5332.31,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-02 23:00:00,6,47.53,9.72,5379.84,5322.59,5361.07,DATA_MISSING,,atr is missing or invalid,12,47.53,106.05,5379.84,5226.26,5248.57,DATA_MISSING,,atr is missing or invalid,24,47.53,336.23,5379.84,4996.08,5125.33,DATA_MISSING,,atr is missing or invalid,48,47.53,336.23,5379.84,4996.08,5172.54,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.03 01:00:00,POSSIBLE_FIBO_PULLBACK,trend,27.0,NORMAL_SPREAD,ASIA,BUY_CONTEXT,fibo_pullback_with_bullish_ema_context,5321.89,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-03 01:00:00,6,57.95,16.71,5379.84,5305.18,5319.03,DATA_MISSING,,atr is missing or invalid,12,57.95,247.84,5379.84,5074.05,5144.46,DATA_MISSING,,atr is missing or invalid,24,57.95,325.81,5379.84,4996.08,5138.49,DATA_MISSING,,atr is missing or invalid,48,57.95,325.81,5379.84,4996.08,5172.58,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.03 03:00:00,POSSIBLE_FIBO_PULLBACK,trend,30.0,NORMAL_SPREAD,ASIA,BUY_CONTEXT,fibo_pullback_with_bullish_ema_context,5350.16,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-03 03:00:00,6,25.48,71.1,5375.64,5279.06,5327.65,DATA_MISSING,,atr is missing or invalid,12,25.48,276.11,5375.64,5074.05,5156.8,DATA_MISSING,,atr is missing or invalid,24,25.48,354.08,5375.64,4996.08,5156.26,DATA_MISSING,,atr is missing or invalid,48,25.48,354.08,5375.64,4996.08,5180.13,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.03 04:00:00,POSSIBLE_FIBO_PULLBACK,trend,24.0,NORMAL_SPREAD,ASIA,BUY_CONTEXT,fibo_pullback_with_bullish_ema_context,5339.20,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-03 04:00:00,6,36.44,60.14,5375.64,5279.06,5295.54,DATA_MISSING,,atr is missing or invalid,12,36.44,323.25,5375.64,5015.95,5038.1,DATA_MISSING,,atr is missing or invalid,24,36.44,343.12,5375.64,4996.08,5174.54,DATA_MISSING,,atr is missing or invalid,48,36.44,343.12,5375.64,4996.08,5171.59,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.03 09:00:00,POSSIBLE_FIBO_PULLBACK,trend,31.0,NORMAL_SPREAD,LONDON,BUY_CONTEXT,fibo_pullback_with_bullish_ema_context,5310.49,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-03 09:00:00,6,25.37,236.44,5335.86,5074.05,5156.8,DATA_MISSING,,atr is missing or invalid,12,25.37,314.41,5335.86,4996.08,5113.19,DATA_MISSING,,atr is missing or invalid,24,25.37,314.41,5335.86,4996.08,5167.53,DATA_MISSING,,atr is missing or invalid,48,25.37,314.41,5335.86,4996.08,5160.91,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.03 10:00:00,POSSIBLE_FIBO_PULLBACK,trend,28.0,NORMAL_SPREAD,LONDON,BUY_CONTEXT,fibo_pullback_with_bullish_ema_context,5327.65,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-03 10:00:00,6,-23.8,311.7,5303.85,5015.95,5038.1,DATA_MISSING,,atr is missing or invalid,12,-23.8,331.57,5303.85,4996.08,5097.25,DATA_MISSING,,atr is missing or invalid,24,-23.8,331.57,5303.85,4996.08,5182.24,DATA_MISSING,,atr is missing or invalid,48,-23.8,331.57,5303.85,4996.08,5164.55,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.03 11:00:00,POSSIBLE_FIBO_PULLBACK,trend,27.0,NORMAL_SPREAD,LONDON,DIRECTION_UNKNOWN,fibo_pullback_without_clear_ema_direction_context,5295.54,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.03 12:00:00,POSSIBLE_ZONE_REJECTION,breakout,29.0,NORMAL_SPREAD,LONDON,DIRECTION_UNKNOWN,zone_rejection_without_directional_candle_context,5275.01,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
