horizon,dimension,value,rows,relabel_ready_rows,blocked_rows,tp_first,sl_first,no_resolution,ambiguous_same_bar,data_missing,direction_missing,evaluable_rows,sl_minus_tp,diagnostic_bias
6,classification,POSSIBLE_BREAK_RETEST,2,0,2,0,0,0,0,2,0,0,0,NO_EVALUABLE_ROWS
6,classification,POSSIBLE_FIBO_PULLBACK,25,15,10,4,9,2,0,0,10,15,5,SL_FIRST_DOMINANT
6,classification,POSSIBLE_ZONE_REJECTION,6,2,4,1,0,0,1,0,4,2,-1,TP_FIRST_DOMINANT
6,session_bucket,ASIA,7,6,1,1,4,1,0,1,0,6,3,SL_FIRST_DOMINANT
6,session_bucket,LONDON,11,5,6,3,2,0,0,1,5,5,-1,TP_FIRST_DOMINANT
6,session_bucket,NEW_YORK,6,1,5,1,0,0,0,0,5,1,-1,TP_FIRST_DOMINANT
6,session_bucket,OTHER,5,2,3,0,0,1,1,0,3,2,0,BALANCED_OR_UNRESOLVED
6,session_bucket,OVERLAP,4,3,1,0,3,0,0,0,1,3,3,SL_FIRST_DOMINANT
6,spread_bucket,LOW_SPREAD,1,0,1,0,0,0,0,1,0,0,0,NO_EVALUABLE_ROWS
6,spread_bucket,NORMAL_SPREAD,32,17,15,5,9,2,1,1,14,17,4,SL_FIRST_DOMINANT
6,regime,breakout,3,0,3,0,0,0,0,0,3,0,0,NO_EVALUABLE_ROWS
6,regime,trend,30,17,13,5,9,2,1,2,11,17,4,SL_FIRST_DOMINANT
12,classification,POSSIBLE_BREAK_RETEST,2,0,2,0,0,0,0,2,0,0,0,NO_EVALUABLE_ROWS
12,classification,POSSIBLE_FIBO_PULLBACK,25,15,10,5,10,0,0,0,10,15,5,SL_FIRST_DOMINANT
12,classification,POSSIBLE_ZONE_REJECTION,6,2,4,1,0,0,1,0,4,2,-1,TP_FIRST_DOMINANT
12,session_bucket,ASIA,7,6,1,2,4,0,0,1,0,6,2,SL_FIRST_DOMINANT
12,session_bucket,LONDON,11,5,6,3,2,0,0,1,5,5,-1,TP_FIRST_DOMINANT
12,session_bucket,NEW_YORK,6,1,5,1,0,0,0,0,5,1,-1,TP_FIRST_DOMINANT
12,session_bucket,OTHER,5,2,3,0,1,0,1,0,3,2,1,SL_FIRST_DOMINANT
12,session_bucket,OVERLAP,4,3,1,0,3,0,0,0,1,3,3,SL_FIRST_DOMINANT
12,spread_bucket,LOW_SPREAD,1,0,1,0,0,0,0,1,0,0,0,NO_EVALUABLE_ROWS
12,spread_bucket,NORMAL_SPREAD,32,17,15,6,10,0,1,1,14,17,4,SL_FIRST_DOMINANT
12,regime,breakout,3,0,3,0,0,0,0,0,3,0,0,NO_EVALUABLE_ROWS
12,regime,trend,30,17,13,6,10,0,1,2,11,17,4,SL_FIRST_DOMINANT
24,classification,POSSIBLE_BREAK_RETEST,2,0,2,0,0,0,0,2,0,0,0,NO_EVALUABLE_ROWS
24,classification,POSSIBLE_FIBO_PULLBACK,25,15,10,5,10,0,0,0,10,15,5,SL_FIRST_DOMINANT
24,classification,POSSIBLE_ZONE_REJECTION,6,2,4,1,0,0,1,0,4,2,-1,TP_FIRST_DOMINANT
24,session_bucket,ASIA,7,6,1,2,4,0,0,1,0,6,2,SL_FIRST_DOMINANT
24,session_bucket,LONDON,11,5,6,3,2,0,0,1,5,5,-1,TP_FIRST_DOMINANT
24,session_bucket,NEW_YORK,6,1,5,1,0,0,0,0,5,1,-1,TP_FIRST_DOMINANT
24,session_bucket,OTHER,5,2,3,0,1,0,1,0,3,2,1,SL_FIRST_DOMINANT
24,session_bucket,OVERLAP,4,3,1,0,3,0,0,0,1,3,3,SL_FIRST_DOMINANT
24,spread_bucket,LOW_SPREAD,1,0,1,0,0,0,0,1,0,0,0,NO_EVALUABLE_ROWS
24,spread_bucket,NORMAL_SPREAD,32,17,15,6,10,0,1,1,14,17,4,SL_FIRST_DOMINANT
24,regime,breakout,3,0,3,0,0,0,0,0,3,0,0,NO_EVALUABLE_ROWS
24,regime,trend,30,17,13,6,10,0,1,2,11,17,4,SL_FIRST_DOMINANT
48,classification,POSSIBLE_BREAK_RETEST,2,0,2,0,0,0,0,2,0,0,0,NO_EVALUABLE_ROWS
48,classification,POSSIBLE_FIBO_PULLBACK,25,15,10,5,10,0,0,0,10,15,5,SL_FIRST_DOMINANT
48,classification,POSSIBLE_ZONE_REJECTION,6,2,4,1,0,0,1,0,4,2,-1,TP_FIRST_DOMINANT
48,session_bucket,ASIA,7,6,1,2,4,0,0,1,0,6,2,SL_FIRST_DOMINANT
48,session_bucket,LONDON,11,5,6,3,2,0,0,1,5,5,-1,TP_FIRST_DOMINANT
48,session_bucket,NEW_YORK,6,1,5,1,0,0,0,0,5,1,-1,TP_FIRST_DOMINANT
48,session_bucket,OTHER,5,2,3,0,1,0,1,0,3,2,1,SL_FIRST_DOMINANT
48,session_bucket,OVERLAP,4,3,1,0,3,0,0,0,1,3,3,SL_FIRST_DOMINANT
48,spread_bucket,LOW_SPREAD,1,0,1,0,0,0,0,1,0,0,0,NO_EVALUABLE_ROWS
48,spread_bucket,NORMAL_SPREAD,32,17,15,6,10,0,1,1,14,17,4,SL_FIRST_DOMINANT
48,regime,breakout,3,0,3,0,0,0,0,0,3,0,0,NO_EVALUABLE_ROWS
48,regime,trend,30,17,13,6,10,0,1,2,11,17,4,SL_FIRST_DOMINANT
