row_index,run_id,case_id,event_time,classification,session_bucket,spread_bucket,regime,direction,ce_relabel_status,readiness_status,readiness_reason,missing_required_fields,missing_recommended_fields,missing_h6_fields,missing_h12_fields,missing_h24_fields,missing_h48_fields
1,run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,2026.03.02 01:00:00,POSSIBLE_BREAK_RETEST,ASIA,LOW_SPREAD,trend,BUY_CONTEXT,DATA_MISSING,DATA_MISSING,offline_atr_status is ATR_MISSING,,offline_atr_14,ce_h6_bars_available;ce_h6_tp_price;ce_h6_sl_price,ce_h12_bars_available;ce_h12_tp_price;ce_h12_sl_price,ce_h24_bars_available;ce_h24_tp_price;ce_h24_sl_price,ce_h48_bars_available;ce_h48_tp_price;ce_h48_sl_price
2,run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,2026.03.02 10:00:00,POSSIBLE_BREAK_RETEST,LONDON,NORMAL_SPREAD,trend,BUY_CONTEXT,DATA_MISSING,DATA_MISSING,offline_atr_status is ATR_MISSING,,offline_atr_14,ce_h6_bars_available;ce_h6_tp_price;ce_h6_sl_price,ce_h12_bars_available;ce_h12_tp_price;ce_h12_sl_price,ce_h24_bars_available;ce_h24_tp_price;ce_h24_sl_price,ce_h48_bars_available;ce_h48_tp_price;ce_h48_sl_price
3,run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,2026.03.02 23:00:00,POSSIBLE_FIBO_PULLBACK,OTHER,NORMAL_SPREAD,trend,BUY_CONTEXT,RELABEL_READY,RELABEL_READY,required fields and all horizon TP/SL labels are complete,,,,,,
4,run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,2026.03.03 01:00:00,POSSIBLE_FIBO_PULLBACK,ASIA,NORMAL_SPREAD,trend,BUY_CONTEXT,RELABEL_READY,RELABEL_READY,required fields and all horizon TP/SL labels are complete,,,,,,
5,run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,2026.03.03 03:00:00,POSSIBLE_FIBO_PULLBACK,ASIA,NORMAL_SPREAD,trend,BUY_CONTEXT,RELABEL_READY,RELABEL_READY,required fields and all horizon TP/SL labels are complete,,,,,,
6,run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,2026.03.03 04:00:00,POSSIBLE_FIBO_PULLBACK,ASIA,NORMAL_SPREAD,trend,BUY_CONTEXT,RELABEL_READY,RELABEL_READY,required fields and all horizon TP/SL labels are complete,,,,,,
7,run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,2026.03.03 09:00:00,POSSIBLE_FIBO_PULLBACK,LONDON,NORMAL_SPREAD,trend,BUY_CONTEXT,RELABEL_READY,RELABEL_READY,required fields and all horizon TP/SL labels are complete,,,,,,
8,run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,2026.03.03 10:00:00,POSSIBLE_FIBO_PULLBACK,LONDON,NORMAL_SPREAD,trend,BUY_CONTEXT,RELABEL_READY,RELABEL_READY,required fields and all horizon TP/SL labels are complete,,,,,,
9,run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,2026.03.03 11:00:00,POSSIBLE_FIBO_PULLBACK,LONDON,NORMAL_SPREAD,trend,DIRECTION_UNKNOWN,DIRECTION_MISSING,DIRECTION_MISSING,direction_context is missing or unknown,,offline_atr_14,ce_h6_bars_available;ce_h6_tp_price;ce_h6_sl_price,ce_h12_bars_available;ce_h12_tp_price;ce_h12_sl_price,ce_h24_bars_available;ce_h24_tp_price;ce_h24_sl_price,ce_h48_bars_available;ce_h48_tp_price;ce_h48_sl_price
10,run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,2026.03.03 12:00:00,POSSIBLE_ZONE_REJECTION,LONDON,NORMAL_SPREAD,breakout,DIRECTION_UNKNOWN,DIRECTION_MISSING,DIRECTION_MISSING,direction_context is missing or unknown,,offline_atr_14,ce_h6_bars_available;ce_h6_tp_price;ce_h6_sl_price,ce_h12_bars_available;ce_h12_tp_price;ce_h12_sl_price,ce_h24_bars_available;ce_h24_tp_price;ce_h24_sl_price,ce_h48_bars_available;ce_h48_tp_price;ce_h48_sl_price
