gap_id,prev_time,next_time,delta_hours,csv_gap_confirmed,interior_h1_bars,screenshot_file,screenshot_present,screenshot_png_signature_valid,screenshot_sha256,layer_a_status,layer_b_status,acceptance_state
gap_01,2023-01-16 21:00:00,2023-01-17 01:00:00,4,true,0,gap_01_20230116_2100_20230117_0100_GOLD_HASH_H1.png,true,true,F20D4418AEA33AC0741ADA480D518E3B90249BB756F92C7E10CCC2D763EA0018,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_02,2023-02-20 21:00:00,2023-02-21 01:00:00,4,true,0,gap_02_20230220_2100_20230221_0100_GOLD_HASH_H1.png,true,true,31C33549CAE9D9AE8CE117E3A2EACF765391BCDDDDD4D7D6987EE86B5359BD46,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_03,2023-04-06 23:00:00,2023-04-10 01:00:00,74,true,0,gap_03_20230406_2300_20230410_0100_GOLD_HASH_H1.png,true,true,6D349AC09773ABECDEC04D0D2FEAB75C6F5B2ACB7734F25C8DDD20CC2910554F,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_04,2023-05-29 21:00:00,2023-05-30 01:00:00,4,true,0,gap_04_20230529_2100_20230530_0100_GOLD_HASH_H1.png,true,true,46B8FF9C8989645AF56F00257F97734838EA3286BEAC70A9BB1385B8DA8B7FDD,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_05,2023-06-19 21:00:00,2023-06-20 01:00:00,4,true,0,gap_05_20230619_2100_20230620_0100_GOLD_HASH_H1.png,true,true,A444CF0E248FBD059E019CE09B093ABAF82880FF883337E6350EC7456BB7D2BB,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_06,2023-07-04 21:00:00,2023-07-05 01:00:00,4,true,0,gap_06_20230704_2100_20230705_0100_GOLD_HASH_H1.png,true,true,C5ABEC6F625167370C6F7A69A3691AD162A074F13BB69D69EFBF8BCACEE4DF2D,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_07,2023-09-04 21:00:00,2023-09-05 01:00:00,4,true,0,gap_07_20230904_2100_20230905_0100_GOLD_HASH_H1.png,true,true,1CAF4327E5BE0C345373B4AE0D5E334F334AA66C5D7FD9961FBEA7E50B9ECA62,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_08,2023-11-23 21:00:00,2023-11-24 01:00:00,4,true,0,gap_08_20231123_2100_20231124_0100_GOLD_HASH_H1.png,true,true,D7A6A18A36751BD00C717B8CD0FA4305E5C070C0D0AB1F46A17842C6430E4014,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_09,2023-12-22 23:00:00,2023-12-26 01:00:00,74,true,0,gap_09_20231222_2300_20231226_0100_GOLD_HASH_H1.png,true,true,3474F153DFE7C409D685FF8920FE300AFDA664F498DF5E10BC802C44BF249F2C,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
gap_10,2023-12-29 23:00:00,2024-01-02 01:00:00,74,true,0,gap_10_20231229_2300_20240102_0100_GOLD_HASH_H1.png,true,true,FF943A388D1679968601DE49073D568518CC1286855089001BB6E57AE7AF9415,PRESENT_PENDING_EXACT_TIMEZONE_AND_VISUAL_REVIEW,MISSING,CONTEXT_ONLY
