gap_id,previous_timestamp,next_timestamp,delta_hours,missing_hourly_slot_count,first_missing_timestamp,last_missing_timestamp,previous_weekday,next_weekday,scope,structural_pattern,evidence_status,final_adjudication,notes_code
FCG0001,2026-01-02T23:00:00,2026-01-05T01:00:00,50,49,2026-01-03T00:00:00,2026-01-05T00:00:00,FRIDAY,MONDAY,ANALYSIS_WINDOW_INTERNAL,WEEKEND_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0002,2026-01-05T23:00:00,2026-01-06T01:00:00,2,1,2026-01-06T00:00:00,2026-01-06T00:00:00,MONDAY,TUESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0003,2026-01-06T23:00:00,2026-01-07T01:00:00,2,1,2026-01-07T00:00:00,2026-01-07T00:00:00,TUESDAY,WEDNESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0004,2026-01-07T23:00:00,2026-01-08T01:00:00,2,1,2026-01-08T00:00:00,2026-01-08T00:00:00,WEDNESDAY,THURSDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0005,2026-01-08T23:00:00,2026-01-09T01:00:00,2,1,2026-01-09T00:00:00,2026-01-09T00:00:00,THURSDAY,FRIDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0006,2026-01-09T23:00:00,2026-01-12T01:00:00,50,49,2026-01-10T00:00:00,2026-01-12T00:00:00,FRIDAY,MONDAY,ANALYSIS_WINDOW_INTERNAL,WEEKEND_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0007,2026-01-12T23:00:00,2026-01-13T01:00:00,2,1,2026-01-13T00:00:00,2026-01-13T00:00:00,MONDAY,TUESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0008,2026-01-13T23:00:00,2026-01-14T01:00:00,2,1,2026-01-14T00:00:00,2026-01-14T00:00:00,TUESDAY,WEDNESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0009,2026-01-14T23:00:00,2026-01-15T01:00:00,2,1,2026-01-15T00:00:00,2026-01-15T00:00:00,WEDNESDAY,THURSDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0010,2026-01-15T23:00:00,2026-01-16T01:00:00,2,1,2026-01-16T00:00:00,2026-01-16T00:00:00,THURSDAY,FRIDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
