section,field,independently_recomputed_value,c2_recorded_value,match,severity,source_artifact,notes_code
01_raw_artifact,byte_size,216222,216222,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,RAW_RECOMPUTATION
01_raw_artifact,data_row_count,3386,3386,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,RAW_RECOMPUTATION
01_raw_artifact,delimiter,TAB,TAB,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,RAW_RECOMPUTATION
01_raw_artifact,encoding,UTF-8_NO_BOM,UTF-8_NO_BOM,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,RAW_RECOMPUTATION
01_raw_artifact,header_profile,MT5_ANGLE_BRACKET_HEADER,MT5_ANGLE_BRACKET_HEADER,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,RAW_RECOMPUTATION
01_raw_artifact,original_bytes,UNCHANGED,UNCHANGED,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,RAW_IMMUTABILITY
01_raw_artifact,physical_row_count,3387,3387,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,RAW_RECOMPUTATION
01_raw_artifact,sha256,69aa7e16d4d3e54bfe8e0aa3ce4c5d61bbd0fcaefb45050341304681b3766f92,69aa7e16d4d3e54bfe8e0aa3ce4c5d61bbd0fcaefb45050341304681b3766f92,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,RAW_RECOMPUTATION
02_source_identity,account_environment_type,DEMO,DEMO,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,SOURCE_IDENTITY_RECOMPUTATION
02_source_identity,broker,XM,XM,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,SOURCE_IDENTITY_RECOMPUTATION
02_source_identity,dst_behavior,UNKNOWN,UNKNOWN,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,SOURCE_IDENTITY_RECOMPUTATION
02_source_identity,exact_server,XMGlobal-MT5 2,XMGlobal-MT5 2,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,SOURCE_IDENTITY_RECOMPUTATION
02_source_identity,exact_symbol,GOLD#,GOLD#,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,SOURCE_IDENTITY_RECOMPUTATION
02_source_identity,status,VERIFIED,VERIFIED,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,SOURCE_IDENTITY_STATUS
02_source_identity,symbol_utf8_hex,474f4c4423,474f4c4423,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,SOURCE_IDENTITY_RECOMPUTATION
02_source_identity,terminal_build,6061,6061,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,SOURCE_IDENTITY_RECOMPUTATION
02_source_identity,time_basis,XM_MT5_SERVER_CHART_TIME,XM_MT5_SERVER_CHART_TIME,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,SOURCE_IDENTITY_RECOMPUTATION
02_source_identity,timeframe,H1,H1,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,SOURCE_IDENTITY_RECOMPUTATION
02_source_identity,utc_offset,UNKNOWN,UNKNOWN,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,SOURCE_IDENTITY_RECOMPUTATION
03_numeric_ranges,CLOSE.maximum,5562.45,5562.45,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,NUMERIC_RANGE
03_numeric_ranges,CLOSE.minimum,3962.80,3962.80,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,NUMERIC_RANGE
03_numeric_ranges,HIGH.maximum,5597.99,5597.99,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,NUMERIC_RANGE
03_numeric_ranges,HIGH.minimum,3971.17,3971.17,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,NUMERIC_RANGE
03_numeric_ranges,LOW.maximum,5554.71,5554.71,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,NUMERIC_RANGE
03_numeric_ranges,LOW.minimum,3942.28,3942.28,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,NUMERIC_RANGE
03_numeric_ranges,OPEN.maximum,5562.57,5562.57,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,NUMERIC_RANGE
03_numeric_ranges,OPEN.minimum,3962.79,3962.79,true,MATERIAL,research/results/checkpoint_fr_phase_c2/row_structural_validation_summary.json,NUMERIC_RANGE
