gap_id,calendar_year,day_of_week,previous_bar_timestamp,next_bar_timestamp,elapsed_hours,missing_h1_slots,previous_source_file,next_source_file,original_evidence_status,original_policy_classification,original_fail_closed_required,structural_signature_sha256,requested_primary_evidence_classes,submitted_package_ids,missing_evidence_fields,intake_status
GQ0001,2020,Thursday,2020-01-02T23:00:00,2020-01-03T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,c1a2dfe523c209f098838cda2ec2406a2c42635d34598a4227d6752a57634fca,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0003,2020,Monday,2020-01-06T23:00:00,2020-01-07T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,c6cb6d143c97092165f7fa92edadd205d16ca9c3594b4a6c7ef8b426eb95522f,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0004,2020,Tuesday,2020-01-07T23:00:00,2020-01-08T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,1921f479b8fcee71b61f6ab56a9e632e31cafbdeece781c0dc498da0ea88e17d,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0005,2020,Wednesday,2020-01-08T23:00:00,2020-01-09T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,cd6030fe05668e3196ee04b5ec77c4dddd7b68eef8b958f8072995fb7ad04a0b,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0006,2020,Thursday,2020-01-09T23:00:00,2020-01-10T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,c1a2dfe523c209f098838cda2ec2406a2c42635d34598a4227d6752a57634fca,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0008,2020,Monday,2020-01-13T23:00:00,2020-01-14T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,c6cb6d143c97092165f7fa92edadd205d16ca9c3594b4a6c7ef8b426eb95522f,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0009,2020,Tuesday,2020-01-14T23:00:00,2020-01-15T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,1921f479b8fcee71b61f6ab56a9e632e31cafbdeece781c0dc498da0ea88e17d,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0010,2020,Wednesday,2020-01-15T23:00:00,2020-01-16T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,cd6030fe05668e3196ee04b5ec77c4dddd7b68eef8b958f8072995fb7ad04a0b,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0011,2020,Thursday,2020-01-16T23:00:00,2020-01-17T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,c1a2dfe523c209f098838cda2ec2406a2c42635d34598a4227d6752a57634fca,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0013,2020,Monday,2020-01-20T19:00:00,2020-01-21T01:00:00,6.0,5,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,2cf052360caf46283533df2b4a355df6e525f734e528eb23c3f835263f882653,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
