dataset_id,direction,year,horizon_valid_h1_bars,metric,total_events,evaluable_events,evaluation_coverage,mean_bps,median_bps,p25_bps,p75_bps,positive_share,zero_share,negative_share
FJ_2023_2025_GOLD_H1,LONG,2023,1,RETURN_BPS,176,176,1.000000,0.971745,0.249958,-10.085002,7.836027,0.505682,0.000000,0.494318
FJ_2023_2025_GOLD_H1,LONG,2023,3,RETURN_BPS,176,176,1.000000,0.453117,-1.268120,-14.931106,15.133663,0.477273,0.000000,0.522727
FJ_2023_2025_GOLD_H1,LONG,2023,6,RETURN_BPS,176,175,0.994318,-1.477727,-2.720476,-20.361748,18.834825,0.457143,0.000000,0.542857
FJ_2023_2025_GOLD_H1,LONG,2023,12,RETURN_BPS,176,172,0.977273,-0.763504,1.080259,-35.661876,30.556278,0.505814,0.000000,0.494186
FJ_2023_2025_GOLD_H1,LONG,2023,12,MFE_BPS,176,172,0.977273,46.587577,33.762450,15.059782,52.884034,0.994186,0.005814,0.000000
FJ_2023_2025_GOLD_H1,LONG,2023,12,MAE_BPS,176,172,0.977273,43.992455,30.972660,14.657966,63.396010,0.994186,0.005814,0.000000
FJ_2023_2025_GOLD_H1,LONG,2024,1,RETURN_BPS,216,216,1.000000,3.534104,3.190382,-4.283834,11.268988,0.583333,0.000000,0.416667
FJ_2023_2025_GOLD_H1,LONG,2024,3,RETURN_BPS,216,216,1.000000,2.357234,2.235899,-11.168387,15.416343,0.569444,0.000000,0.430556
FJ_2023_2025_GOLD_H1,LONG,2024,6,RETURN_BPS,216,215,0.995370,3.857068,5.168025,-16.153209,25.810399,0.562791,0.000000,0.437209
FJ_2023_2025_GOLD_H1,LONG,2024,12,RETURN_BPS,216,211,0.976852,11.085417,10.564221,-21.641376,48.400870,0.597156,0.004739,0.398104
FJ_2023_2025_GOLD_H1,LONG,2024,12,MFE_BPS,216,211,0.976852,51.257237,42.901345,19.118325,70.589178,1.000000,0.000000,0.000000
FJ_2023_2025_GOLD_H1,LONG,2024,12,MAE_BPS,216,211,0.976852,42.960408,33.781621,11.083740,55.966676,0.995261,0.004739,0.000000
FJ_2023_2025_GOLD_H1,LONG,2025,1,RETURN_BPS,196,196,1.000000,-2.418609,-1.993614,-10.831562,8.970024,0.428571,0.000000,0.571429
