average_duration_seconds,average_r,base_case_id,case_id,close_events,count,exit_classification,modify_events,net_profit,phase,run_id,symbol,timeframe,warnings
37980.66,-1.030333,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_out_of_sample,116,50,INITIAL_SL_LOSS,684,-442.12,out_of_sample,run_20260621_214917,EURUSD,H1,
53919.0,-0.021402,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_out_of_sample,116,2,BREAKEVEN_SL,684,-0.39,out_of_sample,run_20260621_214917,EURUSD,H1,
37697.823529,0.366544,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_out_of_sample,116,51,TRAILING_SL_PROFIT,684,161.43,out_of_sample,run_20260621_214917,EURUSD,H1,
54861.846154,1.87971,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_out_of_sample,116,13,TP_HIT,684,219.11,out_of_sample,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_out_of_sample,116,0,OTHER_CLOSE,684,0,out_of_sample,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_out_of_sample,116,0,UNKNOWN,684,0,out_of_sample,run_20260621_214917,EURUSD,H1,
30983.337079,-1.003346,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_train,567,267,INITIAL_SL_LOSS,3516,-2309.08,train,run_20260621_214917,EURUSD,H1,
230076.0,-0.02038,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_train,567,1,BREAKEVEN_SL,3516,-0.15,train,run_20260621_214917,EURUSD,H1,
53412.735931,0.414946,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_train,567,231,TRAILING_SL_PROFIT,3516,808.5,train,run_20260621_214917,EURUSD,H1,
34177.102941,1.803034,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_train,567,68,TP_HIT,3516,1074.4,train,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_train,567,0,OTHER_CLOSE,3516,0,train,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_train,567,0,UNKNOWN,3516,0,train,run_20260621_214917,EURUSD,H1,
30061.4,-1.010867,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_validation,248,115,INITIAL_SL_LOSS,2090,-997.78,validation,run_20260621_214917,EURUSD,H1,
84757.0,-0.07346,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_validation,248,1,BREAKEVEN_SL,2090,-0.62,validation,run_20260621_214917,EURUSD,H1,
56334.333333,0.469356,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_validation,248,105,TRAILING_SL_PROFIT,2090,415.94,validation,run_20260621_214917,EURUSD,H1,
27621.296296,1.779135,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_validation,248,27,TP_HIT,2090,413.79,validation,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_validation,248,0,OTHER_CLOSE,2090,0,validation,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_validation,248,0,UNKNOWN,2090,0,validation,run_20260621_214917,EURUSD,H1,
37980.66,-1.030333,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_out_of_sample,116,50,INITIAL_SL_LOSS,684,-442.12,out_of_sample,run_20260621_214917,EURUSD,H1,
53919.0,-0.021402,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_out_of_sample,116,2,BREAKEVEN_SL,684,-0.39,out_of_sample,run_20260621_214917,EURUSD,H1,
37697.823529,0.366544,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_out_of_sample,116,51,TRAILING_SL_PROFIT,684,161.43,out_of_sample,run_20260621_214917,EURUSD,H1,
54861.846154,1.87971,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_out_of_sample,116,13,TP_HIT,684,219.11,out_of_sample,run_20260621_214917,EURUSD,H1,
