base_case_id,breakeven_sl_avg_r,breakeven_sl_count,case_id,deposit,drawdown,execution_status,exit_variant,initial_sl_loss_avg_r,initial_sl_loss_count,largest_loss,largest_win,max_consecutive_losses,max_drawdown,net_profit,other_close_avg_r,other_close_count,phase,profit_factor,run_id,symbol,telemetry_close_events,timeframe,total_realized_r,tp_hit_avg_r,tp_hit_count,trade_count,trailing_atr_multiplier,trailing_sl_profit_avg_r,trailing_sl_profit_count,unknown_avg_r,unknown_count,use_trailing_stop,win_rate
EURUSD_H1_EXIT_BASELINE_10000,-0.010582,1,EURUSD_H1_EXIT_BASELINE_10000_out_of_sample,10000,0.59,PASS,baseline,-1.004437,27,-10.25,19.32,4,59.65,41.03,,0,out_of_sample,1.18,run_20260621_205032,EURUSD,62,H1,3.548768,1.896818,11,62,1.5,0.426703,23,,0,True,54.84
EURUSD_H1_EXIT_BASELINE_10000,,0,EURUSD_H1_EXIT_BASELINE_10000_train,10000,0.59,PASS,baseline,-1.004277,11,-9.42,14.25,4,59.16,-40.96,,0,train,0.57,run_20260621_205032,EURUSD,22,H1,-3.984758,1.841085,1,22,1.5,0.522121,10,,0,True,50.0
EURUSD_H1_EXIT_BASELINE_10000,,0,EURUSD_H1_EXIT_BASELINE_10000_validation,10000,0.63,PASS,baseline,-1.008708,45,-10.45,20.4,4,63.21,61.38,,0,validation,1.16,run_20260621_205032,EURUSD,105,H1,7.821652,1.802734,17,105,1.5,0.524815,43,,0,True,57.14
EURUSD_H1_EXIT_NO_TRAILING_10000,,0,EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,10000,0.38,PASS,no_trailing,-1.006066,8,-10.7,18.83,4,38.72,72.84,,0,out_of_sample,2.06,run_20260621_205032,EURUSD,17,H1,8.233195,1.80908,9,17,1.5,,0,,0,False,52.94
EURUSD_H1_EXIT_NO_TRAILING_10000,,0,EURUSD_H1_EXIT_NO_TRAILING_10000_train,10000,0.44,PASS,no_trailing,-1.02386,12,-9.42,19.66,4,43.92,-22.85,,0,train,0.76,run_20260621_205032,EURUSD,17,H1,-3.172618,1.822741,5,17,1.5,,0,,0,False,29.41
EURUSD_H1_EXIT_NO_TRAILING_10000,,0,EURUSD_H1_EXIT_NO_TRAILING_10000_validation,10000,0.4,PASS,no_trailing,-1.006785,7,-9.95,19.05,4,39.92,-1.57,,0,validation,0.98,run_20260621_205032,EURUSD,11,H1,0.206033,1.813382,4,11,1.5,,0,,0,False,36.36
EURUSD_H1_EXIT_TRAILING_LOOSER_10000,,0,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_out_of_sample,10000,0.4,PASS,trailing_looser,-1.001168,13,-10.25,19.72,4,41.05,97.33,,0,out_of_sample,1.86,run_20260621_205032,EURUSD,33,H1,10.011908,1.825972,11,33,2.0,0.326823,9,,0,True,60.61
EURUSD_H1_EXIT_TRAILING_LOOSER_10000,,0,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,10000,0.67,PASS,trailing_looser,-1.004277,11,-9.42,14.25,4,66.78,-47.75,,0,train,0.49,run_20260621_205032,EURUSD,21,H1,-5.124583,1.841085,1,21,2.0,0.453487,9,,0,True,47.62
EURUSD_H1_EXIT_TRAILING_LOOSER_10000,,0,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_validation,10000,0.35,PASS,trailing_looser,-1.011047,11,-10.45,19.05,4,34.71,12.51,,0,validation,1.13,run_20260621_205032,EURUSD,22,H1,0.768798,1.801517,5,22,2.0,0.480454,6,,0,True,50.0
EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,-0.034444,1,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,10000,0.75,PASS,trailing_tighter,-1.005322,28,-9.96,18.83,4,75.3,9.06,,0,out_of_sample,1.04,run_20260621_205032,EURUSD,78,H1,-0.250103,1.943563,6,78,1.0,0.378418,43,,0,True,62.82
EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,,0,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_train,10000,0.59,PASS,trailing_tighter,-1.004277,11,-9.42,9.48,4,58.97,-45.63,,0,train,0.52,run_20260621_205032,EURUSD,24,H1,-4.829778,,0,24,1.0,0.478252,13,,0,True,54.17
EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,-0.003115,1,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_validation,10000,0.75,PASS,trailing_tighter,-1.0079,52,-10.45,17,4,75.41,-49.31,,0,validation,0.89,run_20260621_205032,EURUSD,146,H1,-4.981704,1.82704,10,146,1.0,0.351347,83,,0,True,63.7
