accepted_signals,accepted_signals_after_first_losing_block,base_case_id,blocked_signals,breakeven_sl_avg_r,breakeven_sl_count,case_id,cooldown_active_blocks,cooldown_or_reset_allowed_events,daily_weekly_drawdown_blocks,deposit,execution_status,first_losing_streak_block_time,initial_sl_loss_avg_r,initial_sl_loss_count,largest_loss,largest_win,losing_streak_blocks,losing_streak_cooldown_bars,losing_streak_trigger_blocks,max_consecutive_losses,max_drawdown,max_open_order_blocks,net_profit,phase,profit_factor,relative_drawdown,risk_gate_mode,risk_gate_variant,run_id,spread_blocks,symbol,timeframe,tp_hit_avg_r,tp_hit_count,trade_count,trailing_sl_profit_avg_r,trailing_sl_profit_count,unknown_avg_r,unknown_count,win_rate
116,54,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,197,-0.021402,2,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_out_of_sample,1,0,0,10000,PASS,2026-03-31 17:00:00,-1.030333,50,-20.55,19.65,6,24,5,6,163.72,191,-61.97,out_of_sample,0.86,1.62,DIAGNOSTIC_FIXED_COOLDOWN,fixed_cooldown_24bars,run_20260621_214917,182,EURUSD,H1,1.87971,13,116,0.366544,51,,0,64.0
567,545,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,1047,-0.02038,1,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_train,72,0,0,10000,PASS,2023-01-30 13:00:00,-1.003346,267,-10.03,19.08,93,24,21,8,461.06,954,-426.33,train,0.82,4.6,DIAGNOSTIC_FIXED_COOLDOWN,fixed_cooldown_24bars,run_20260621_214917,584,EURUSD,H1,1.803034,68,567,0.414946,231,,0,299.0
248,143,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,567,-0.07346,1,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_validation,48,0,0,10000,PASS,2025-05-15 18:00:00,-1.010867,115,-10.45,20.4,67,24,19,12,273.91,497,-168.67,validation,0.83,2.71,DIAGNOSTIC_FIXED_COOLDOWN,fixed_cooldown_24bars,run_20260621_214917,348,EURUSD,H1,1.779135,27,248,0.469356,105,,0,132.0
116,54,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,197,-0.021402,2,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_out_of_sample,1,0,0,10000,PASS,2026-03-31 17:00:00,-1.030333,50,-20.55,19.65,6,24,5,6,163.72,191,-61.97,out_of_sample,0.86,1.62,DIAGNOSTIC_NEXT_DAY_RESET,next_day_reset,run_20260621_214917,182,EURUSD,H1,1.87971,13,116,0.366544,51,,0,64.0
582,560,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,1032,-0.02038,1,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_train,37,0,0,10000,PASS,2023-01-30 13:00:00,-1.003302,275,-10.03,19.08,57,24,20,7,474.36,975,-447.57,train,0.81,4.73,DIAGNOSTIC_NEXT_DAY_RESET,next_day_reset,run_20260621_214917,584,EURUSD,H1,1.798091,70,582,0.417531,236,,0,306.0
258,153,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,557,-0.07346,1,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_validation,29,0,0,10000,PASS,2025-05-15 18:00:00,-1.010732,117,-10.45,20.4,43,24,14,6,234.93,511,-129.69,validation,0.87,2.32,DIAGNOSTIC_NEXT_DAY_RESET,next_day_reset,run_20260621_214917,348,EURUSD,H1,1.778958,30,258,0.461074,110,,0,140.0
121,0,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,192,-0.021402,2,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_out_of_sample,0,0,0,10000,PASS,,-1.029148,53,-20.55,19.65,0,24,0,6,184.04,192,-82.29,out_of_sample,0.82,1.82,DIAGNOSTIC_NO_LOSING_STREAK_GATE,no_losing_streak_gate,run_20260621_214917,182,EURUSD,H1,1.87971,13,121,0.361809,53,,0,66.0
604,0,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,1010,-0.02038,1,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_train,0,0,0,10000,PASS,,-1.003274,283,-10.03,19.08,0,24,0,5,453.69,1010,-418.75,train,0.83,4.53,DIAGNOSTIC_NO_LOSING_STREAK_GATE,no_losing_streak_gate,run_20260621_214917,584,EURUSD,H1,1.795863,74,604,0.415194,246,,0,320.0
272,0,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,543,-0.07346,1,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_validation,0,0,0,10000,PASS,,-1.011032,123,-10.45,20.4,0,24,0,7,202.88,540,-95.49,validation,0.91,2.01,DIAGNOSTIC_NO_LOSING_STREAK_GATE,no_losing_streak_gate,run_20260621_214917,348,EURUSD,H1,1.798249,34,272,0.465992,114,,0,148.0
62,0,EURUSD_H1_RISKGATE_NORMAL_10000,251,-0.010582,1,EURUSD_H1_RISKGATE_NORMAL_10000_out_of_sample,0,0,0,10000,PASS,2026-03-31 17:00:00,-1.004437,27,-10.25,19.32,143,24,0,4,59.65,108,41.03,out_of_sample,1.18,0.59,NORMAL,normal,run_20260621_214917,182,EURUSD,H1,1.896818,11,62,0.426703,23,,0,34.0
22,0,EURUSD_H1_RISKGATE_NORMAL_10000,1592,,0,EURUSD_H1_RISKGATE_NORMAL_10000_train,0,0,0,10000,PASS,2023-01-30 13:00:00,-1.004277,11,-9.42,14.25,1558,24,0,4,59.16,34,-40.96,train,0.57,0.59,NORMAL,normal,run_20260621_214917,584,EURUSD,H1,1.841085,1,22,0.522121,10,,0,11.0
105,0,EURUSD_H1_RISKGATE_NORMAL_10000,710,,0,EURUSD_H1_RISKGATE_NORMAL_10000_validation,0,0,0,10000,PASS,2025-05-15 18:00:00,-1.008708,45,-10.45,20.4,467,24,0,4,63.21,240,61.38,validation,1.16,0.63,NORMAL,normal,run_20260621_214917,348,EURUSD,H1,1.802734,17,105,0.524815,43,,0,60.0
