average_holding_minutes,average_loss,average_profit_loss,average_win,case,exit_counts,largest_loss,largest_win,long_trades_over_24h,loss_concentration_pct_largest_loss,max_consecutive_losses,net_profit,profit_factor,quick_trades_under_60m,session,trades,win_loss_ratio,win_rate_pct
777.96,-7.9779,1.1667,7.9047,EURUSD_H1_10000,"{'SL': 27, 'TP': 6}",-9.96,17.94,3,8.92,3,38.5,1.3447,0,Asia,33,0.9908,57.58
407.3951,-8.5555,-0.001,7.7516,EURUSD_H1_10000,"{'SL': 51, 'TP': 10}",-9.95,19.32,2,4.01,4,-0.06,0.9998,7,London,61,0.906,52.46
1366.7311,-8.3789,0.3225,6.3465,EURUSD_H1_10000,"{'TP': 5, 'SL': 39}",-10.45,20.4,13,6.93,3,14.19,1.0941,4,New York,44,0.7574,59.09
786.0386,-8.4133,-0.9357,4.6725,EURUSD_H1_10000,"{'SL': 6, 'TP': 1}",-8.8,12.33,0,34.87,1,-6.55,0.7405,0,Other / Unknown,7,0.5554,57.14
465.2166,-8.751,0.3493,7.9329,EURUSD_H1_10000,"{'SL': 37, 'TP': 7}",-10.25,18.83,2,5.86,6,15.37,1.0878,5,Overlap,44,0.9065,54.55
2584.71,-7.4167,-0.0358,7.345,EURUSD_H4_10000,"{'SL': 10, 'TP': 2}",-9.31,17.62,8,20.92,3,-0.43,0.9903,0,Asia,12,0.9903,50.0
2515.7355,-7.98,-4.4536,4.95,EURUSD_H4_10000,"{'SL': 10, 'TP': 1}",-9.74,9.94,6,15.26,4,-48.99,0.2326,0,London,11,0.6203,27.27
4531.8068,-7.4537,1.3105,7.6845,EURUSD_H4_10000,"{'SL': 16, 'TP': 3}",-9.77,15.2,15,16.38,2,24.9,1.4176,0,New York,19,1.031,57.89
2493.135,-7.125,-5.2088,0.54,EURUSD_H4_10000,{'SL': 8},-9.78,0.58,3,22.88,3,-41.67,0.0253,1,Overlap,8,0.0758,25.0
290.3705,-9.9125,0.15,5.9,EURUSD_M30_10000,"{'TP': 4, 'SL': 18}",-10.24,18.27,0,12.91,2,3.3,1.0416,0,Asia,22,0.5952,63.64
164.8881,-9.493,1.1479,10.8214,EURUSD_M30_10000,"{'SL': 34, 'TP': 8}",-10.27,41.2,0,5.41,3,48.21,1.2539,8,London,42,1.1399,52.38
1207.415,-8.945,0.6294,3.8208,EURUSD_M30_10000,"{'SL': 15, 'TP': 1}",-10.1,15.43,4,28.23,2,10.07,1.2814,0,New York,16,0.4271,75.0
1557.7867,,1.6733,1.6733,EURUSD_M30_10000,{'SL': 3},,3.07,1,,0,5.02,,0,Other / Unknown,3,,100.0
254.8379,-8.5612,-2.6914,5.135,EURUSD_M30_10000,"{'SL': 13, 'TP': 1}",-9.72,14.1,1,14.19,2,-37.68,0.4498,2,Overlap,14,0.5998,42.86
