===== C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05\logs\20260620.log =====
PP	0	00:40:06.445	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260620_004004\EURUSD_H1_10000_train\generated_tester.ini"
RS	0	00:40:09.901	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
PL	0	00:40:09.903	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 4 / 31 Gb memory, 1 / 382 Gb disk, UAC, GMT+7
DO	0	00:40:09.903	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
PM	0	00:40:09.903	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260620_004004\EURUSD_H1_10000_train\generated_tester.ini
CL	0	00:40:24.187	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
QI	0	00:40:24.815	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 210.90 ms, build 5660)
HK	0	00:40:24.815	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.19 18:17:29
PH	0	00:40:25.639	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
EK	0	00:40:25.639	Network	'168886591': trading has been enabled - hedging mode
JE	0	00:40:27.937	Tester	automatical testing started
DD	0	00:40:27.938	AutoTesting	EURUSD: preliminary downloading of M1 history started
JH	0	00:40:28.340	AutoTesting	EURUSD: 80% history downloaded
IP	0	00:40:29.430	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.32 ms via 'VPS London LD6 24' instead of 210.90 ms
GQ	0	00:40:29.651	AutoTesting	EURUSD: 90% history downloaded
IJ	0	00:40:31.122	AutoTesting	EURUSD: preliminary downloading of M1 history completed in 0:00:03.188
===== C:\Users\tomah\AppData\Roaming\MetaQuotes\Tester\BB16F565FAAA6B23A20C26C49416FF05\Agent-127.0.0.1-3000\logs\20260620.log =====
