event,timestamp,run_id,preset_file,ticket,position_id,deal_id,actual_symbol,canonical_symbol,timeframe,strategy,regime,direction,entry_price,initial_sl,initial_tp,current_price,close_price,old_sl,new_sl,old_tp,new_tp,sl_distance_points,tp_distance_points,initial_risk_money,lot_size,spread_at_entry,atr,r_target,unrealized_r,profit,duration_seconds,final_sl,final_tp,realized_r,exit_comment,exit_classification,classification_reason
OPEN,2026.01.02 09:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,2,2,2,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.17428,1.17714,1.16858,1.17428,0.0,0.0,1.17714,0.0,1.16858,286.00000000000847,570.0000000000038,8.580000000000254,0.03,18.999999999991246,0.0014271428571428837,1.9930069930069472,0.0,0.0,0,1.17714,1.16858,0.0,,,open deal
CLOSE,2026.01.05 04:44:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,3,2,3,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.17428,1.17714,1.16858,1.16853,1.16853,0.0,0.0,0.0,0.0,286.00000000000847,570.0000000000038,8.580000000000254,0.03,18.999999999991246,0.0014271428571428837,1.9930069930069472,0.0,17.31,243840,1.17714,1.16858,2.0174825174824575,tp 1.16858,TP_HIT,close comment starts with tp
OPEN,2026.01.05 18:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,4,4,4,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.17036,1.17306,1.16499,1.17036,0.0,0.0,1.17306,0.0,1.16499,269.99999999999244,537.0000000000097,8.099999999999772,0.03,18.999999999991246,0.001344285714285674,1.9888888888889804,0.0,0.0,0,1.17306,1.16499,0.0,,,open deal
CLOSE,2026.01.06 04:46:29,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,5,4,5,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.17036,1.17306,1.16499,1.17307,1.17307,0.0,0.0,0.0,0.0,269.99999999999244,537.0000000000097,8.099999999999772,0.03,18.999999999991246,0.001344285714285674,1.9888888888889804,0.0,-8.07,38789,1.17306,1.16499,-0.9962962962963243,sl 1.17306,INITIAL_SL_LOSS,sl close with negative profit
OPEN,2026.01.06 17:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,6,6,6,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.17078,1.17331,1.16581,1.17078,0.0,0.0,1.17331,0.0,1.16581,253.0000000000143,496.99999999999187,7.590000000000429,0.03,19.00000000001345,0.0012492857142857494,1.9644268774702125,0.0,0.0,0,1.17331,1.16581,0.0,,,open deal
CLOSE,2026.01.08 16:19:37,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,7,6,7,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.17078,1.17331,1.16581,1.1658,1.1658,0.0,0.0,0.0,0.0,253.0000000000143,496.99999999999187,7.590000000000429,0.03,19.00000000001345,0.0012492857142857494,1.9644268774702125,0.0,15.18,170377,1.17331,1.16581,1.999999999999887,tp 1.16581,TP_HIT,close comment starts with tp
OPEN,2026.01.09 16:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,8,8,8,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.16444,1.1663000000000001,1.1607,1.16444,0.0,0.0,1.1663000000000001,0.0,1.1607,186.00000000001947,373.99999999998545,9.300000000000974,0.05,19.999999999997797,0.0009328571428571512,2.0107526881717543,0.0,0.0,0,1.1663000000000001,1.1607,0.0,,,open deal
CLOSE,2026.01.12 02:52:12,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,9,8,9,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.16444,1.1663000000000001,1.1607,1.1663000000000001,1.1663000000000001,0.0,0.0,0.0,0.0,186.00000000001947,373.99999999998545,9.300000000000974,0.05,19.999999999997797,0.0009328571428571512,2.0107526881717543,0.0,-9.200000000000001,211932,1.1663000000000001,1.1607,-0.9892473118278535,sl 1.16630,INITIAL_SL_LOSS,sl close with negative profit
OPEN,2026.01.15 12:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,10,10,10,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.16348,1.16493,1.16058,1.16348,0.0,0.0,1.16493,0.0,1.16058,144.9999999999951,290.00000000001245,8.699999999999706,0.06,19.999999999997797,0.0007257142857143014,2.000000000000153,0.0,0.0,0,1.16493,1.16058,0.0,,,open deal
CLOSE,2026.01.15 15:40:15,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,11,10,11,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.16348,1.16493,1.16058,1.16058,1.16058,0.0,0.0,0.0,0.0,144.9999999999951,290.00000000001245,8.699999999999706,0.06,19.999999999997797,0.0007257142857143014,2.000000000000153,0.0,17.4,13215,1.16493,1.16058,2.0000000000000675,tp 1.16058,TP_HIT,close comment starts with tp
