run_id,case_id,base_case_id,phase,symbol,timeframe,direction,volume,open_time,close_time,duration_minutes,open_price,close_price,sl,tp,profit,commission,swap,total_profit,exit_reason,magic_number,entry_comment,exit_comment,open_deal,close_deal
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,out_of_sample,EURUSD,H1,sell,0.03,2026-01-02 09:00:00,2026-01-02 16:47:28,467.47,1.17428,1.17303,1.17428,2.0,3.75,0.0,0.0,3.75,SL,,FAT Trend Sell,sl 1.17303,2,3
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,out_of_sample,EURUSD,H1,sell,0.03,2026-01-02 19:00:00,2026-01-05 00:06:30,3186.5,1.17364,1.17288,1.17364,4.0,2.28,0.0,0.06,2.34,SL,,FAT Trend Sell,sl 1.17287,4,5
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,out_of_sample,EURUSD,H1,sell,0.03,2026-01-05 18:00:00,2026-01-06 04:46:29,646.48,1.17036,1.17307,1.17036,6.0,-8.13,0.0,0.06,-8.07,SL,,FAT Trend Sell,sl 1.17306,6,7
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,out_of_sample,EURUSD,H1,sell,0.03,2026-01-06 17:00:00,2026-01-06 18:00:28,60.47,1.17078,1.16974,1.17078,8.0,3.12,0.0,0.0,3.12,SL,,FAT Trend Sell,sl 1.16974,8,9
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,out_of_sample,EURUSD,H1,sell,0.04,2026-01-07 04:00:00,2026-01-07 10:36:32,396.53,1.16947,1.1682,1.16947,10.0,5.08,0.0,0.0,5.08,SL,,FAT Trend Sell,sl 1.16820,10,11
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,out_of_sample,EURUSD,H1,sell,0.08,2026-01-08 08:00:00,2026-01-08 11:04:41,184.68,1.16814,1.16755,1.16814,12.0,4.72,0.0,0.0,4.72,SL,,FAT Trend Sell,sl 1.16754,12,13
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,out_of_sample,EURUSD,H1,sell,0.08,2026-01-08 13:00:00,2026-01-08 15:02:00,122.0,1.16791,1.16765,1.16791,14.0,2.08,0.0,0.0,2.08,SL,,FAT Trend Sell,sl 1.16765,14,15
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,out_of_sample,EURUSD,H1,sell,0.05,2026-01-09 16:00:00,2026-01-09 17:32:05,92.08,1.16444,1.16298,1.16444,16.0,7.3,0.0,0.0,7.3,SL,,FAT Trend Sell,sl 1.16297,16,17
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,out_of_sample,EURUSD,H1,sell,0.06,2026-01-15 12:00:00,2026-01-15 15:40:15,220.25,1.16348,1.16058,1.16348,18.0,17.4,0.0,0.0,17.4,TP,,FAT Trend Sell,tp 1.16058,18,19
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,out_of_sample,EURUSD,H1,sell,0.07,2026-01-16 15:00:00,2026-01-16 17:40:16,160.27,1.16181,1.15912,1.16181,20.0,18.83,0.0,0.0,18.83,TP,,FAT Trend Sell,tp 1.15913,20,21
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,out_of_sample,EURUSD,H1,sell,0.05,2026-01-16 18:00:00,2026-01-19 01:02:46,3302.77,1.15926,1.15903,1.15926,22.0,1.15,0.0,0.1,1.25,SL,,FAT Breakout Sell,sl 1.15900,22,23
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,out_of_sample,EURUSD,H1,buy,0.03,2026-01-19 03:00:00,2026-01-20 01:43:30,1363.5,1.16329,1.16376,1.16329,24.0,1.41,0.0,-0.25,1.16,SL,,FAT Breakout Buy,sl 1.16377,24,25
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,out_of_sample,EURUSD,H1,buy,0.03,2026-01-21 06:00:00,2026-01-21 16:04:37,604.62,1.172,1.17302,1.172,26.0,3.06,0.0,0.0,3.06,SL,,FAT Trend Buy,sl 1.17302,26,27
run_20260621_205032,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,out_of_sample,EURUSD,H1,buy,0.03,2026-01-21 17:00:00,2026-01-21 18:23:11,83.18,1.17257,1.1697,1.17257,28.0,-8.61,0.0,0.0,-8.61,SL,,FAT Trend Buy,sl 1.16970,28,29
