time,open,high,low,close
2026.03.01 00:00:00,100.00,101.00,99.00,100.00
2026.03.01 01:00:00,100.00,110.00,98.00,108.00
2026.03.01 02:00:00,108.00,116.00,104.00,115.00
2026.03.01 03:00:00,115.00,117.00,112.00,114.00
2026.03.01 04:00:00,114.00,115.00,113.00,114.00
2026.03.01 05:00:00,200.00,201.00,199.00,200.00
2026.03.01 06:00:00,200.00,212.00,198.00,210.00
2026.03.01 07:00:00,210.00,211.00,205.00,206.00
2026.03.01 08:00:00,206.00,207.00,204.00,205.00
2026.03.01 09:00:00,205.00,206.00,204.00,205.00
2026.03.01 10:00:00,300.00,301.00,299.00,300.00
2026.03.01 11:00:00,300.00,316.00,289.00,302.00
2026.03.01 12:00:00,302.00,303.00,301.00,302.00
2026.03.01 13:00:00,302.00,303.00,301.00,302.00
2026.03.01 14:00:00,302.00,303.00,301.00,302.00
2026.03.01 15:00:00,400.00,401.00,399.00,400.00
2026.03.01 16:00:00,400.00,420.00,380.00,410.00
2026.03.01 17:00:00,410.00,412.00,405.00,406.00
2026.03.01 18:00:00,406.00,407.00,405.00,406.00
2026.03.01 19:00:00,406.00,407.00,405.00,406.00
